American Samoa,0.079,-0.042,0.169,-0.14,-0.562,0.181,-0.368,-0.187,0.132,-0.047,-0.477,-0.067,0.33,-0.308,-0.118,-0.177,0.156,0.092,0.341,0.35,0.179,0.28,0.313,0.277,0.256,0.394,0.354,0.509,0.143,0.497,0.641,0.344,-0.069,0.189,0.755,0.784,1.788,1.018,0.242,0.626,0.904,1.152,0.716,0.191,0.801,0.403,1.032,0.67,1.413,1.311,0.854,0.924,1.257,1.17,1.009,1.539,1.435,1.189,1.539,1.43,1.268,1.256
Antigua and Barbuda,0.09,0.031,0.288,0.214,-0.385,0.097,-0.192,-0.225,0.271,0.109,-0.233,-0.214,0.164,-0.377,-0.419,-0.467,0.076,0.161,0.16,0.646,0.564,0.162,0.489,0.009,-0.051,-0.023,0.649,0.395,-0.077,0.417,0.459,0.445,0.528,0.493,0.677,0.377,0.455,1.046,0.541,0.335,0.425,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862,0.77
Bahamas The,0.073,-0.062,-0.097,0.192,0.054,-0.172,-0.146,-0.324,-0.065,-0.469,-0.055,0.301,0.166,-0.058,0.334,-0.241,-0.04,0.04,0.133,0.377,-0.03,0.531,0.155,0.02,0.242,0.23,0.466,0.426,0.672,0.764,0.788,0.286,0.378,0.801,0.671,0.008,0.787,0.924,0.619,0.163,0.135,0.856,0.989,0.311,0.455,0.385,0.937,0.842,0.41,0.314,0.363,0.344,0.565,0.883,1.114,1.042,1.331,1.023,1.443,1.611,0.879,1.48
Bahrain,-0.471,0.397,0.635,-0.561,0.234,0.535,-0.362,-0.446,0.567,0.247,-0.248,-0.613,-0.273,-0.256,-0.217,-0.501,0.332,0.099,0.856,0.351,0.408,-0.086,-0.834,0.039,0.367,0.668,0.548,0.633,0.047,0.455,-0.243,-0.544,0.127,0.998,0.251,0.695,0.376,1.435,2.055,1.119,1.216,1.552,1.256,1.385,1.065,1.823,1.08,1.329,1.224,2.286,1.431,1.385,1.403,1.694,2.24,1.598,2.08,2.247,2.108,2.027,2.464,2.017
Barbados,0.221,0.094,0.2,-0.011,-0.28,-0.149,-0.252,-0.363,0.31,0.074,-0.174,-0.015,0.006,-0.336,-0.556,-0.444,-0.054,0.248,0.042,0.485,0.304,0.165,0.281,-0.076,-0.263,-0.179,0.536,0.385,0.187,0.356,0.422,0.333,0.394,0.388,0.463,0.315,0.288,1.079,0.466,0.303,0.506,0.546,0.888,0.7,1.13,0.844,0.679,0.316,0.429,1.147,0.677,0.488,0.778,0.418,0.868,1.446,1.342,0.85,1.556,1.716,1.286,1.031
Brunei Darussalam,0.062,-0.017,-0.165,0.054,-0.235,0.183,-0.093,-0.177,0.227,0.086,-0.248,0.018,0.255,-0.151,0.004,-0.337,-0.075,0.123,0.275,0.185,0.122,0.186,0.563,0.021,0.181,0.156,0.498,0.471,0.057,0.381,0.384,0.326,0.228,0.453,0.471,0.429,0.671,1.296,0.575,0.485,0.602,0.669,0.735,0.673,0.893,0.718,0.743,0.511,0.875,1.012,0.725,0.912,1.195,1.028,1.281,1.74,1.468,1.41,1.624,1.783,1.458,1.446
Cabo Verde,-0.12,0.219,0.47,0.011,-0.322,0.261,-0.081,-0.388,0.939,0.806,-0.153,0.104,0.377,-0.568,-0.019,-0.341,0.104,0.281,0.641,0.618,0.27,0.514,0.51,0.194,0.103,-0.028,1.006,0.815,0.95,1.313,0.68,0.888,0.508,0.442,1.475,1.598,1.654,1.78,0.794,1.039,1.329,1.478,1.569,1.604,1.171,1.356,0.821,1.302,0.772,1.225,1.372,1.338,1.331,1.083,1.071,1.692,2,0.926,1.622,1.401,1.765,1.853
Comoros Union of the,0.457,0.001,-0.248,-0.215,-0.334,0.059,0.154,-0.452,0.199,0.058,-0.545,-0.075,0.135,-0.375,-0.16,-0.071,0.448,0.184,0.165,0.198,0.082,0.53,0.356,-0.433,0.159,0.001,0.455,0.461,-0.234,0.154,0.299,0.119,0.233,0.595,0.475,0.013,0.315,0.807,0.235,0.01,0.159,0.613,0.291,0.213,0.309,0.115,0.448,0.28,0.639,0.88,0.516,0.479,0.415,0.509,0.725,0.7,0.95,0.705,1.296,1.03,0.65,0.521
Cook Islands,0.148,-0.064,-0.099,0.163,-0.373,0.035,-0.352,-0.387,-0.009,0.249,-0.079,-0.03,0.508,-0.129,-0.167,-0.269,0.057,-0.006,-0.05,0.138,0.036,-0.061,0.06,-0.043,0.05,0.264,-0.021,0.34,0.13,0.19,0.197,0.21,-0.069,0.186,0.455,0.247,-0.108,-0.258,0.625,0.303,0.402,0.292,0.262,0.257,0.115,0.314,0.344,0.208,0.077,0.604,0.548,0.258,0.455,0.158,-0.43,0.31,0.675,0.238,0.22,0.274,0.568,0.479
Cuba,-0.084,-0.07,-0.127,0.102,0.023,-0.325,-0.234,-0.339,0.024,-0.349,0.067,0.433,0.403,0.087,0.528,-0.194,0.131,0.034,0.349,0.49,-0.016,0.591,0.303,0.287,0.235,0.357,0.736,0.603,0.68,0.836,0.899,0.608,0.639,1.016,1.222,0.627,1.031,1.191,0.806,0.508,0.535,0.945,1.089,0.872,0.787,0.914,0.902,0.642,0.93,0.957,0.538,0.611,0.885,1.144,1.439,1.37,1.275,1.177,1.634,1.722,1.304,1.437
